product,marginal_costs,empty,quantile5pl,quantile10pl,quantile25p,quantile10ph,quantile5ph,quantile5nl,quantile10nl,quantile25n,quantile10nh,quantile5nh
2020-05-01 11:00,20,0.00,0.00,0.00,8.48,6.80,4.35,0.00,0.00,-12.00,-2.86,-9.07
2020-05-01 11:15,20,0.00,0.00,0.00,18.19,6.44,8.22,0.00,0.00,-5.71,-5.45,-1.70
2020-05-01 11:30,20,0.00,0.00,0.00,22.82,9.94,5.99,0.00,0.00,-1.72,-5.65,-11.73
2020-05-01 11:45,20,0.00,0.00,0.00,27.89,13.22,11.10,0.00,0.00,-4.56,-7.54,-11.73
2020-05-01 12:00,20,0.00,1.40,6.38,13.89,19.53,9.83,0.00,0.00,0.00,0.00,-0.96
2020-05-01 12:15,20,0.00,0.00,3.37,22.42,43.94,9.98,0.00,0.00,0.00,-1.31,-1.69
2020-05-01 12:30,20,0.00,0.00,1.12,32.86,42.47,18.79,0.00,0.00,0.00,-1.51,-0.70
2020-05-01 12:45,20,0.00,0.00,0.00,39.81,37.45,13.07,0.00,0.00,-7.93,-8.84,-1.90
2020-05-01 13:00,20,0.00,1.98,15.13,10.83,9.84,2.20,0.00,0.00,0.00,0.00,-7.13
2020-05-01 13:15,20,0.00,0.00,0.00,21.42,9.72,2.68,0.00,0.00,-2.60,-8.74,-8.56
2020-05-01 13:30,20,0.00,0.00,0.00,8.06,11.56,4.78,0.00,0.00,-9.85,-2.64,-3.20
2020-05-01 13:45,20,0.00,0.00,0.00,6.66,34.75,13.51,0.00,0.00,-12.05,-4.22,-2.91
2020-05-01 14:00,20,0.00,0.00,0.00,11.08,12.76,23.81,0.00,0.00,-8.25,-3.00,-1.04
2020-05-01 14:15,20,0.00,0.00,0.00,24.74,20.34,17.28,0.00,0.00,-2.50,-3.56,-2.22
2020-05-01 14:30,20,0.00,0.00,0.00,28.76,9.91,9.04,0.00,0.00,-1.48,-4.65,-2.10
2020-05-01 14:45,20,0.53,1.50,4.81,28.76,13.39,9.44,0.00,0.00,0.00,0.00,0.00
2020-05-01 15:00,20,0.00,0.00,0.00,0.22,11.56,9.26,0.00,0.00,-22.21,-6.23,-0.73
2020-05-01 15:15,20,0.00,2.13,1.86,15.49,7.46,8.48,0.00,0.00,0.00,0.00,-0.75
2020-05-01 15:30,20,0.00,0.00,3.10,17.78,5.01,2.42,0.00,0.00,0.00,-0.74,-0.96
2020-05-01 15:45,20,13.10,1.20,1.86,12.34,4.29,2.91,0.00,0.00,0.00,0.00,0.00
2020-05-01 16:00,20,0.00,0.00,0.00,3.79,18.91,3.67,0.00,0.00,-12.08,-8.22,-2.07
2020-05-01 16:15,20,0.00,0.00,0.00,18.62,7.36,1.66,0.00,0.00,-1.20,-2.64,-2.14
2020-05-01 16:30,20,0.00,0.00,12.85,15.40,24.61,3.49,0.00,0.00,0.00,-0.98,-4.64
2020-05-01 16:45,20,16.57,3.87,10.79,35.27,22.73,6.40,0.00,0.00,0.00,0.00,0.00
2020-05-01 17:00,20,0.00,0.00,0.00,6.74,14.70,3.04,0.00,0.00,-33.71,-22.37,-3.32
2020-05-01 17:15,20,5.78,0.81,2.32,13.41,22.30,11.46,0.00,0.00,0.00,0.00,0.00
2020-05-01 17:30,20,2.12,4.73,10.15,12.34,19.00,11.10,0.00,0.00,0.00,0.00,0.00
2020-05-01 17:45,20,16.64,6.26,8.08,16.53,4.14,6.14,0.00,0.00,0.00,0.00,0.00
2020-05-01 18:00,20,0.00,0.00,4.69,10.38,7.80,2.92,0.00,0.00,0.00,-2.48,-2.83
2020-05-01 18:15,20,0.00,0.00,11.83,12.16,4.50,2.84,0.00,0.00,0.00,-9.90,-5.46
2020-05-01 18:30,20,0.00,0.00,1.66,32.22,6.88,1.47,0.00,0.00,0.00,-18.89,-4.55
2020-05-01 18:45,20,0.00,0.00,0.00,47.41,7.79,5.74,0.00,0.00,-5.37,-12.68,-10.35
2020-05-01 19:00,20,0.00,0.00,2.98,16.37,3.44,2.35,0.00,0.00,0.00,-7.28,-1.81
2020-05-01 19:15,20,0.00,0.00,5.97,15.46,1.86,0.80,0.00,0.00,0.00,-3.29,-4.39
2020-05-01 19:30,20,6.19,2.03,5.11,18.27,3.03,15.54,0.00,0.00,0.00,0.00,0.00
2020-05-01 19:45,20,23.67,3.21,5.45,24.44,2.67,1.36,0.00,0.00,0.00,0.00,0.00
2020-05-01 20:00,20,12.06,4.82,4.15,13.77,3.22,22.08,0.00,0.00,0.00,0.00,0.00
2020-05-01 20:15,20,24.48,2.25,3.98,9.44,9.80,13.37,0.00,0.00,0.00,0.00,0.00
2020-05-01 20:30,20,22.91,1.59,5.66,11.56,55.34,52.15,0.00,0.00,0.00,0.00,0.00
2020-05-01 20:45,20,10.39,4.16,5.95,44.47,38.38,15.97,0.00,0.00,0.00,0.00,0.00
2020-05-01 21:00,20,38.21,2.37,5.37,79.11,26.45,9.46,0.00,0.00,0.00,0.00,0.00
2020-05-01 21:15,20,22.91,4.54,2.77,19.36,13.06,16.44,0.00,0.00,0.00,0.00,0.00
2020-05-01 21:30,20,0.00,0.00,16.16,13.19,22.75,9.51,0.00,0.00,0.00,-3.35,-12.54
2020-05-01 21:45,20,0.00,0.00,8.45,15.91,5.24,1.96,0.00,0.00,0.00,-8.42,-26.88
2020-05-01 22:00,20,13.35,2.93,7.65,19.05,1.61,0.66,0.00,0.00,0.00,0.00,0.00
2020-05-01 22:15,20,0.00,0.00,3.32,26.34,0.73,1.30,0.00,0.00,0.00,-22.59,-21.29
2020-05-01 22:30,20,0.00,0.00,6.54,9.49,4.19,2.48,0.00,0.00,0.00,-10.71,-9.33
2020-05-01 22:45,20,0.00,0.00,0.00,6.60,8.71,2.36,0.00,0.00,-0.03,-19.97,-4.39
2020-05-01 23:00,20,0.00,6.30,13.19,3.37,3.26,3.91,0.00,0.00,0.00,0.00,-1.33
2020-05-01 23:15,20,0.00,0.00,17.13,7.32,1.18,1.46,0.00,0.00,0.00,-4.98,-5.29
2020-05-01 23:30,20,0.12,1.85,5.36,8.15,6.53,18.66,0.00,0.00,0.00,0.00,0.00
2020-05-01 23:45,20,1.00,0.54,1.75,7.95,11.11,4.37,0.00,0.00,0.00,0.00,0.00
