product,marginal_costs,quantile25p,quantile10p,quantile5p,quantile25n,quantile10n,quantile5n
2020-05-01 20:00,20,13.77,3.22,22.08,0.00,0.00,0.00
2020-05-01 20:15,20,9.44,9.80,13.37,0.00,0.00,0.00
2020-05-01 20:30,20,11.56,55.34,52.15,0.00,0.00,0.00
2020-05-01 20:45,20,44.47,38.38,15.97,0.00,0.00,0.00
2020-05-01 21:00,20,79.11,26.45,9.46,0.00,0.00,0.00
2020-05-01 21:15,20,19.36,13.06,16.44,0.00,0.00,0.00
2020-05-01 21:30,20,13.19,22.75,9.51,0.00,-3.35,-12.54
2020-05-01 21:45,20,15.91,5.24,1.96,0.00,-8.42,-26.88
2020-05-01 22:00,20,19.05,1.61,0.66,0.00,0.00,0.00
2020-05-01 22:15,20,26.34,0.73,1.30,0.00,-22.59,-21.29
2020-05-01 22:30,20,9.49,4.19,2.48,0.00,-10.71,-9.33
2020-05-01 22:45,20,6.60,8.71,2.36,-0.03,-19.97,-4.39
2020-05-01 23:00,20,3.37,3.26,3.91,0.00,0.00,-1.33
2020-05-01 23:15,20,7.32,1.18,1.46,0.00,-4.98,-5.29
2020-05-01 23:30,20,8.15,6.53,18.66,0.00,0.00,0.00
2020-05-01 23:45,20,7.95,11.11,4.37,0.00,0.00,0.00
,,7.94,11.27,13.34,0.00,0.00,0.00
,,12.10,1.23,0.52,0.00,0.00,0.00
,,5.13,2.27,0.74,0.00,0.00,-0.88
,,0.58,4.09,1.27,-6.58,-3.01,-3.21
,,11.54,5.90,1.50,0.00,0.00,0.00
,,3.15,5.12,2.57,0.00,0.00,0.00
,,4.25,2.05,0.90,0.00,-3.19,-2.20
,,0.00,1.32,4.08,-12.39,-2.79,-4.87
